,GeoID,Homeownership_Rate,Median_Home_Value,Median_Household_Income,Rental_Occupancy_Rate,Vacancy_Rate
119,85373,86.51,317100.0,68445.0,13.49,11.01
120,85374,78.45,355800.0,78690.0,21.55,16.27
121,85375,88.17,350700.0,63977.0,11.83,16.68
122,85377,90.5,1058600.0,143315.0,9.5,23.12
123,85378,62.25,235200.0,62881.0,37.75,17.6
124,85379,74.93,413500.0,102823.0,25.07,2.78
125,85381,65.92,407900.0,94442.0,34.08,7.37
126,85382,69.15,408000.0,93387.0,30.85,10.82
127,85383,91.67,607700.0,138671.0,8.33,4.56
128,85387,93.84,453800.0,95472.0,6.16,7.58
129,85388,82.19,420000.0,107131.0,17.81,3.99
130,85390,79.07,465800.0,65985.0,20.93,15.1
131,85392,61.11,364700.0,84965.0,38.89,4.54
132,85395,80.55,524600.0,107980.0,19.45,13.42
133,85396,93.49,451000.0,114266.0,6.51,9.83
