"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85208","AZ","85208","=""85208""","68452","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85209","AZ","85209","=""85209""","80498","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85210","AZ","85210","=""85210""","59680","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85212","AZ","85212","=""85212""","123404","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85213","AZ","85213","=""85213""","100671","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85215","AZ","85215","=""85215""","90310","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85224","AZ","85224","=""85224""","90886","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85225","AZ","85225","=""85225""","86036","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85226","AZ","85226","=""85226""","103740","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85233","AZ","85233","=""85233""","105154","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85234","AZ","85234","=""85234""","118012","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85236","AZ","85236","=""85236""","N/A","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85248","AZ","85248","=""85248""","94220","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85249","AZ","85249","=""85249""","150985","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85250","AZ","85250","=""85250""","89133","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85251","AZ","85251","=""85251""","89151","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85253","AZ","85253","=""85253""","182150","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85254","AZ","85254","=""85254""","120885","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85255","AZ","85255","=""85255""","143567","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85256","AZ","85256","=""85256""","51469","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85257","AZ","85257","=""85257""","79828","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85258","AZ","85258","=""85258""","105171","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85259","AZ","85259","=""85259""","145574","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85260","AZ","85260","=""85260""","103854","2019-2023","2020","Census","Maricopa (County, 2022)"
